中文名称,英文名称,国籍,位置,年龄
颜骏凌,Yan Junling,中国,门将,29
奥斯卡,Oscar,巴西,中场/前锋,28
王燊超,Wang Shenchao,中国,后卫/中场,30
阿瑙托维奇,Marko Arnautovic,奥地利,前锋,30
傅欢,Fu Huan,中国,后卫,26
洛佩斯,Ricardo Lopes Pereira,巴西,前锋/中场,29
石柯,Shi Ke,中国,后卫,27
魏震,Wei Zhen,中国,后卫,22
胡尔克,Hulk,巴西,前锋/中场,33
贺惯,He Guan,中国,后卫,27
买提江,Mirahmetjan Muzepper,中国,中场,29
吕文君,Lü Wenjun,中国,中场/前锋,30
杨世元,Yang Shiyuan,中国,中场,25
艾哈迈多夫,Odil Ahmedov,乌兹别克斯坦,中场,32
陈彬彬,Chen Binbin,中国,中场/前锋,21
于海,Yu Hai,中国,后卫,32
林创益,Lin Chuangyi,中国,中场,27
于睿,Yu Rui,中国,后卫,27
蔡慧康,Cai Huikang,中国,中场,30
穆伊,Aaron Mooy,澳大利亚,中场,29
雷文杰,Lei Wenjie,中国,前锋/后卫,23
张卫,Zhang Wei,中国,后卫/中场,26
李圣龙,Li Shenglong,中国,前锋,27
陈威,Chen Wei,中国,门将,21
贾博琰,Jia Boyan,中国,中场,16
陈纯新,Chen Chunxin,中国,中场,22
张一,Zhang Yi,中国,后卫,26
