中文名称,英文名称,国籍,位置,年龄
颜骏凌,Yan Junling,中国,GK,31
吕文君,Lü Wenjun,中国,MF,32
王燊超,Wang Shenchao,中国,"DF,MF",32
保利尼奥,Paulinho,巴西,"MF,FW",27
蔡慧康,Cai Huikang,中国,MF,32
魏震,Wei Zhen,中国,DF,24
恩迪亚耶,Cherif Ndiaye,塞内加尔,FW,26
李昂,Li Ang,中国,DF,28
马蒂亚斯·巴尔加斯,Matías Vargas,阿根廷,MF,24
张琳芃,Zhang Linpeng,中国,DF,32
蒋光太,Tyias Browning,中国,DF,27
李申圆,Li Shenyuan,中国,"DF,MF",24
冯劲,Feng Jing,中国,"MF,FW",28
武磊,Wu Lei,中国,"FW,MF",30
张华晨,Zhang Huachen,中国,MF,23
买提江,Mirahmetjan Muzepper,中国,MF,31
于海,Yu Hai,中国,DF,34
徐新,Xu Xin,中国,MF,27
陈纯新,Chen Chunxin,中国,MF,24
刘祝润,Liu Zhurun,中国,"FW,MF",20
卡隆,Issa Kallon,塞拉利昂,"MF,FW",26
王逸伟,Wang Yiwei,中国,"DF,MF",17
刘柏杨,Liu Baiyang,中国,FW,18
杨世元,Yang Shiyuan,中国,MF,27
贺惯,He Guan,中国,DF,29
阿布拉汗·哈力克,Ablahan Haliq,中国,MF,20
陈威,Chen Wei,中国,GK,23
傅欢,Fu Huan,中国,MF,28
李圣龙,Li Shenglong,中国,MF,29
奥斯卡,Oscar,巴西,MF,30
陈旭黄,Chen Xuhuang,中国,MF,18
李帅,Li Shuai,中国,DF,26
赵申澳,Zhao Shen'ao,中国,MF,19
杨子涵,Yang Zihan,中国,DF,18
杜佳,Du Jia,中国,GK,28
向荣峻,Xiang Rongjun,中国,DF,17
黎德明,Li Deming,中国,FW,18
王淞,Wang Song,中国,FW,18
陈彬彬,Chen Binbin,中国,MF,23
奚安杰,Xi Anjie,中国,GK,18
张慧宇,Zhang Huiyu,中国,MF,18
梁锟,Liang Kun,中国,GK,18
吕坤,Lyu Kun,中国,DF,19
王玉龙,Wang Yulong,中国,DF,18
汤宇璇,Tang Yuxuan,中国,DF,18
