中文名称,英文名称,国籍,位置,年龄
奥斯卡,Oscar,巴西,中场/前锋,29
颜骏凌,Yan Junling,中国,守门员,30
吕文君,Lü Wenjun,中国,中场/后卫,31
魏震,Wei Zhen,中国,后卫/中场,23
王燊超,Wang Shenchao,中国,中场/后卫,31
贺惯,He Guan,中国,后卫/中场,28
李申圆,Li Shenyuan,中国,后卫/中场,23
于海,Yu Hai,中国,后卫,33
阿隆·穆伊,Aaron Mooy,澳大利亚,中场,30
里卡多·洛佩斯,Ricardo Lopes Pereira,巴西,前锋/中场,30
杨世元,Yang Shiyuan,中国,中场,26
李圣龙,Li Shenglong,中国,前锋,28
李昂,Li Ang,中国,后卫,27
张华晨,Zhang Huachen,中国,中场/前锋,22
保利尼奥,Paulinho,巴西,中场/前锋,26
阿布拉汗·哈力克,Ablahan Haliq,中国,中场,19
买提江,Mirahmetjan Muzepper,中国,中场/前锋,30
刘祝润,Liu Zhurun,中国,中场/前锋,19
马尔科·阿瑙托维奇,Marko Arnautović,奥地利,前锋,31
胡靖航,Hu Jinghang,中国,中场/前锋,23
陈彬彬,Chen Binbin,中国,中场,22
陈威,Chen Wei,中国,守门员,22
陈纯新,Chen Chunxin,中国,中场,23
张卫,Zhang Wei,中国,后卫,27
傅欢,Fu Huan,中国,后卫,27
张一,Zhang Yi,中国,中场,27
贾博琰,Jia Boyan,中国,中场,17
蔡慧康,Cai Huikang,中国,中场,31
于睿,Yu Rui,中国,后卫,28
杜佳,Du Jia,中国,守门员,27
聂孟,Nie Meng,中国,后卫,22
郭通,Guo Tong,中国,守门员,18
