中文名称,英文名称,国籍,位置,年龄
佩雷拉,Vítor Pereira,葡萄牙,主教练
颜骏凌,Yan Junling,中国,守门员,27
孙乐,Sun Le,中国,守门员,28
陈威,Chen Wei,中国,守门员,20
施晓东,Shi Xiaodong,中国,守门员,21
张卫,Zhang Wei,中国,后卫,24
王燊超,Wang Shenchao,中国,后卫,29
石柯,Shi Ke,中国,后卫,25
魏震,Wei Zhen,中国,后卫,21
于海,Yu Hai,中国,后卫,30
傅欢,Fu Huan,中国,后卫,24
贺惯,He Guan,中国,后卫,25
俞豪,Yu Hao,中国,后卫,20
张恩格,Zhang En'ge,中国,后卫,21
朱佳毅,Zhu Jiayi,中国,后卫,19
聂孟,Nie Meng,中国,后卫,20
李申圆,Li Shenyuan,中国,后卫,20
蔡慧康,Cai Huikang,中国,中场,28
奥斯卡,Oscar,巴西,中场,26
胡尔克,Hulk,巴西,中场,31
艾哈迈多夫,Odil Akhmedov,乌兹别克斯坦,中场,30
林创益,Lin Chuangyi,中国,中场,25
张一,Zhang Yi,中国,中场,24
雷文杰,Lei Wenjie,中国,中场,21
陈彬彬,Chen Binbin,中国,中场,19
张华晨,Zhang Huachen,中国,中场,20
周正,Zhou Zheng,中国,中场,20
孙峻岗,Sun Jungang,中国,中场,22
高海生,Gao Haisheng,中国,中场,21
武磊,Wu Lei,中国,前锋,26
埃尔克森,Elkeson,巴西,前锋,28
吕文君,Lü Wenjun,中国,前锋,28
李圣龙,Li Shenglong,中国,前锋,25
胡靖航,Hu Jinghang,中国,前锋,20
高志杰,Gao Zhijie,中国,前锋,20
江子磊,Jiang Zilei,中国,前锋,20
魏来,Wei Lai,中国,前锋,20
