号码,姓名,出生年月日,年龄,位置,
1,颜骏凌,1991/1/28,35,GK,
2,李昂,1993/9/15,33,CB,
3,蒋光太,1994/5/27,32,CB,入籍
4,王燊超,1989/2/8,37,LB,
5,张琳芃,1989/5/9,37,RB,
6,徐新,1994/4/19,32,CM,
7,武磊,1991/11/19,35,RW,
9,古斯塔沃,1994/3/29,32,CF,F
10,维塔尔,1998/2/12,28,AM,F
11,吕文君,1989/3/11,37,LW,
12,陈威,1998/2/14,28,GK,
13,魏震,1997/2/12,29,CB,
14,李圣龙,1992/7/30,34,CF,
15,明天,1995/4/8,31,RB,
17,沈子贵,2000/12/26,26,LW,台
18,艾菲尔丁,2003/9/15,23,LW,
19,王振澳,1999/8/10,27,RB,
20,杨世元,1994/3/11,32,DM,
22,马修斯·尤萨,1996/3/22,30,DM,F
23,傅欢,1993/7/12,33,RB,
25,杜佳,1993/5/1,33,GK,
26,刘若钒,1999/1/28,27,RW,
27,冯劲,1993/8/14,33,RW,
30,加布里埃尔,1996/3/29,30,LW,F
32,李帅,1995/6/18,31,LB,
36,阿布拉汗·哈力克,2001/4/26,25,CM,
45,莱昂纳多,1997/5/28,29,CF,F
40,吾米提江,2004/2/28,22,CB,U21
47,蒯纪闻,2006/2/28,20,AM,U21
48,刘磊,2006/2/5,20,CB,U21
49,李新翔,2005/11/30,21,LW,U21
50,王逸伟,2004/3/20,22,DF,U21
51,刘铁诚,2006/4/22,20,CB,U21
52,孟敬朝,2004/1/9,22,DM,U21
53,李智良,2007/6/18,19,GK,U21
