season,match_type,match_name,round,date,home_team,away_team,result,win_loss
2013,足协杯,足协杯十六分之一决赛,十六分之一决赛,2013-05-21,上海东亚,重庆力帆,2-2,平
2013,中超联赛,中超联赛11轮,第11轮,2013-05-25,青岛中能,上海东亚,1-0,负
2013,中超联赛,中超联赛12轮,第12轮,2013-06-02,上海申鑫,上海东亚,1-6,胜
2013,中超联赛,中超联赛13轮,第13轮,2013-06-22,上海东亚,武汉卓尔,1-0,胜
2013,中超联赛,中超联赛14轮,第14轮,2013-06-25,广州恒大,上海东亚,1-0,负
2013,中超联赛,中超联赛15轮,第15轮,2013-06-29,上海东亚,江苏舜天,2-1,负
2013,中超联赛,中超联赛16轮,第16轮,2013-07-07,上海东亚,北京国安,0-3,负
2013,足协杯,足协杯八分之一决赛,八分之一决赛,2013-07-10,青岛中能,上海东亚,0-0,平
2013,中超联赛,中超联赛17轮,第17轮,2013-07-14,贵州人和,上海东亚,0-3,胜
2013,中超联赛,中超联赛18轮,第18轮,2013-07-31,上海东亚,大连阿尔滨,2-2,平
2013,中超联赛,中超联赛19轮,第19轮,2013-08-04,长春亚泰,上海东亚,0-0,平
2013,中超联赛,中超联赛20轮,第20轮,2013-08-11,上海东亚,广州富力,0-3,负
2013,中超联赛,中超联赛21轮,第21轮,2013-08-17,天津泰达,上海东亚,2-3,胜
2013,中超联赛,中超联赛22轮,第22轮,2013-08-24,上海东亚,上海申花,0-1,负
2013,中超联赛,中超联赛24轮,第24轮,2013-09-15,上海东亚,浙江绿城,2-0,胜
2013,中超联赛,中超联赛25轮,第25轮,2013-09-20,上海东亚,山东鲁能,0-1,负
2013,中超联赛,中超联赛26轮,第26轮,2013-09-27,上海东亚,青岛中能,6-1,胜
2013,中超联赛,中超联赛27轮,第27轮,2013-10-05,上海东亚,上海申鑫,0-1,负
2013,中超联赛,中超联赛23(补赛)轮,第23轮（补赛）,2013-10-12,辽宁宏运,上海东亚,1-0,负
2013,中超联赛,中超联赛28轮,第28轮,2013-10-20,武汉卓尔,上海东亚,0-1,胜
