轮次,比赛日期,星期,时间,主队,客队,比分 (主:客),赛果 (海港视角)
1,2016-03-05,星期六,15:30,河南建业,上海上港,1:0,负
2,2016-03-11,星期五,19:35,上海上港,上海申花,1:1,平
3,2016-04-02,星期六,15:30,重庆力帆,上海上港,1:1,平
4,2016-04-10,星期日,15:30,上海上港,辽宁宏运,4:0,胜
5,2016-04-15,星期五,15:30,上海上港,广州恒大,1:0,胜
6,2016-04-24,星期日,15:30,长春亚泰,上海上港,1:3,胜
7,2016-04-29,星期五,19:35,上海上港,延边富德,3:0,胜
8,2016-05-08,星期日,19:35,石家庄永昌,上海上港,1:2,胜
9,2016-05-14,星期六,19:35,北京国安,上海上港,2:1,负
10,2016-05-21,星期六,19:35,上海上港,杭州绿城,1:0,胜
11,2016-05-29,星期日,19:35,广州富力,上海上港,1:1,平
12,2016-06-11,星期六,17:30,上海上港,江苏苏宁,1:2,负
13,2016-06-19,星期日,17:30,山东鲁能,上海上港,0:0,平
14,2016-06-25,星期六,19:35,上海上港,天津泰达,1:1,平
15,2016-07-03,星期日,19:35,河北华夏幸福,上海上港,0:2,胜
16,2016-07-10,星期日,19:35,上海上港,河南建业,5:0,胜
17,2016-07-17,星期日,19:35,上海申花,上海上港,2:1,负
18,2016-07-20,星期三,19:35,上海上港,重庆力帆,5:3,胜
19,2016-07-23,星期六,19:35,辽宁宏运,上海上港,3:1,负
20,2016-07-31,星期日,19:35,广州恒大,上海上港,3:3,平
21,2016-06-15,星期三,19:35,上海上港,长春亚泰,1:1,平
22,2016-08-13,星期六,15:30,延边富德,上海上港,1:1,平
23,2016-08-19,星期五,19:35,上海上港,石家庄永昌,4:1,胜
24,2016-09-09,星期五,19:35,上海上港,北京国安,2:2,平
25,2016-09-18,星期日,19:35,杭州绿城,上海上港,1:2,胜
26,2016-09-24,星期六,19:35,上海上港,广州富力,0:0,平
27,2016-10-15,星期六,19:35,江苏苏宁,上海上港,2:1,负
28,2016-10-22,星期六,19:35,上海上港,山东鲁能,4:1,胜
29,2016-10-26,星期三,19:35,天津泰达,上海上港,0:1,胜
30,2016-10-30,星期日,19:35,上海上港,河北华夏幸福,3:1,胜
