比赛类别,轮次,比赛时间,主队,比分,,客队,赛果,进球队员
中超联赛,1,2017.03.04,上海上港,5,1,长春亚泰,胜,埃尔克森3，武磊，胡尔克(PK)
中超联赛,2,2017.03.10,上海上港,2,0,延边富德,胜,吕文君，武磊
中超联赛,3,2017.04.01,广州恒大,3,2,上海上港,负,埃尔克森，胡尔克
中超联赛,4,2017.04.07,上海上港,2,1,山东鲁能,胜,胡尔克，韦世豪
中超联赛,5,2017.04.15,天津权健,1,1,上海上港,平,武磊/胡尔克(PK)
中超联赛,6,2017.04.21,上海上港,3,0,河北华夏,胜,吕文君，武磊，奥斯卡(PK)
中超联赛,7,2017.04.30,重庆力帆,1,1,上海上港,平,贺惯
中超联赛,8,2017.05.06,上海上港,3,0,恒丰智诚,胜,王燊超，胡尔克，埃尔克森(PK)
中超联赛,9,2017.05.14,天津泰达,0,1,上海上港,胜,傅欢
中超联赛,10,2017.05.20,上海申花,1,3,上海上港,胜,武磊，胡尔克，李运秋(OG)
中超联赛,11,2017.05.27,上海上港,5,1,北京国安,胜,韦世豪2，武磊2，胡尔克
中超联赛,12,2017.06.03,上海上港,4,1,辽宁宏运,胜,胡尔克2(1PK)，武磊，吕文君
中超联赛,13,2017.06.18,广州富力,1,1,上海上港,平,胡尔克
中超联赛,14,2017.06.25,上海上港,4,1,河南建业,胜,戈麦斯(OG)，艾哈迈多夫，埃尔克森，武磊
中超联赛,15,2017.07.01,江苏苏宁,0,1,上海上港,胜,埃尔克森
中超联赛,16,2017.07.09,长春亚泰,4,2,上海上港,负,张笑飞(OG)，李圣龙
中超联赛,17,2017.07.15,延边富德,1,3,上海上港,胜,埃尔克森，武磊，胡尔克
中超联赛,18,2017.07.22,上海上港,2,2,广州恒大,平,武磊2
中超联赛,19,2017.07.30,山东鲁能,2,1,上海上港,负,武磊
中超联赛,20,2017.08.06,上海上港,0,0,天津权健,平,/
中超联赛,21,2017.08.10,华夏幸福,2,2,上海上港,平,埃尔克森，贺惯
中超联赛,22,2017.08.13,上海上港,3,2,重庆力帆,胜,胡尔克(PK)，艾哈迈多夫，武磊
中超联赛,23,2017.08.19,恒丰智诚,2,1,上海上港,负,吕文君
中超联赛,24,2017.09.09,上海上港,3,1,天津泰达,胜,武磊，于海，埃尔克森
中超联赛,25,2017.09.16,上海上港,6,1,上海申花,胜,武磊2，胡尔克2，艾哈迈多夫，李圣龙
中超联赛,26,2017.09.22,北京国安,0,1,上海上港,胜,奥斯卡
中超联赛,27,2017.10.14,辽宁宏运,3,3,上海上港,平,武磊2，埃尔克森
中超联赛,28,2017.10.22,上海上港,1,2,广州富力,负,胡尔克/胡尔克(PK)
中超联赛,29,2017.10.29,河南建业,2,4,上海上港,胜,胡尔克2，奥斯卡，武磊
中超联赛,30,2017.11.04,上海上港,2,3,江苏苏宁,负,吕文君，胡尔克(PK)
