中文名称,英文名称,国籍,位置,年龄
佩雷拉,Vítor Pereira,葡萄牙,主教练
颜骏凌,Yan Junling,中国,门将,28
奥斯卡,Oscar,巴西,中场/前锋,27
贺惯,He Guan,中国,后卫,26
胡尔克,Hulk,巴西,前锋/中场,32
于海,Yu Hai,中国,后卫,31
王燊超,Wang Shenchao,中国,中场/后卫,29
蔡慧康,Cai Huikang,中国,中场,29
石柯,Shi Ke,中国,后卫,26
张卫,Zhang Wei,中国,中场/后卫,25
吕文君,Lü Wenjun,中国,前锋/中场,29
魏震,Wei Zhen,中国,后卫,21
艾哈迈多夫,Odil Ahmedov,乌兹别克斯坦,中场,31
埃尔克森,Elkeson,中国,前锋,29
陈彬彬,Chen Binbin,中国,中场/前锋,20
林创益,Lin Chuangyi,中国,中场,26
杨世元,Yang Shiyuan,中国,中场,24
傅欢,Fu Huan,中国,中场/后卫,25
李圣龙,Li Shenglong,中国,前锋/中场,26
阿瑙托维奇,Marko Arnautović,奥地利,前锋,29
胡靖航,Hu Jinghang,中国,前锋,21
雷文杰,Lei Wenjie,中国,中场,22
张一,Zhang Yi,中国,后卫,25
李浩文,Li Haowen,中国,前锋,25
于浩,Yu Hao,中国,后卫,21
肖明杰,Xiao Mingjie,中国,后卫,22
张华晨,Zhang Huachen,中国,后卫/中场,20
孙乐,Sun Le,中国,门将,29
陈威,Chen Wei,中国,门将,20
