轮次,比赛日期,星期,时间,主队,客队,比分 (主:客),赛果 (海港视角)
Regular season,2020-07-27,星期一,19:35,天津泰达,上海上港,1:3,胜
Regular season,2020-08-02,星期日,18:00,上海上港,河北华夏幸福,4:0,胜
Regular season,2020-08-06,星期四,20:00,青岛黄海,上海上港,1:1,平
Regular season,2020-08-12,星期三,18:00,上海上港,武汉卓尔,2:1,胜
Regular season,2020-08-16,星期日,20:00,上海上港,石家庄永昌,1:1,平
Regular season,2020-08-22,星期六,20:00,北京国安,上海上港,1:2,胜
Regular season,2020-08-26,星期三,18:00,上海上港,重庆力帆,3:0,胜
Regular season,2020-08-31,星期一,20:00,上海上港,天津泰达,4:1,胜
Regular season,2020-09-05,星期六,18:00,河北华夏幸福,上海上港,2:0,负
Regular season,2020-09-10,星期四,20:00,上海上港,青岛黄海,2:1,胜
Regular season,2020-09-15,星期二,18:00,武汉卓尔,上海上港,1:2,胜
Regular season,2020-09-22,星期二,20:00,石家庄永昌,上海上港,0:1,胜
Regular season,2020-09-25,星期五,20:00,上海上港,北京国安,1:0,胜
Regular season,2020-09-28,星期一,20:00,重庆力帆,上海上港,1:0,负
Quarter-finals,2020-10-18,星期日,19:35,上海申花,上海上港,0:0,平
Quarter-finals,2020-10-23,星期五,19:35,上海上港,上海申花,1:1,平
Semi-finals,2020-10-29,星期四,19:35,江苏苏宁,上海上港,1:1,平
Semi-finals,2020-11-02,星期一,15:30,上海上港,江苏苏宁,1:2,负
3rd-place play-off,2020-11-07,星期六,19:35,上海上港,北京国安,1:2,负
3rd-place play-off,2020-11-11,星期三,19:35,北京国安,上海上港,1:1,平
