比赛类别,轮次,比赛时间,主队,比分,,客队,赛果,进球队员
中超联赛,1,2018.03.03,上海上港,8,0,大连一方,胜,奥斯卡3，武磊3，吕文君，胡尔克(PK)
中超联赛,2,2018.03.10,上海申花,0,2,上海上港,胜,胡尔克，吕文君
中超联赛,3,2018.03.18,广州富力,2,5,上海上港,胜,武磊4，胡尔克
中超联赛,4,2018.03.30,上海上港,2,1,重庆力帆,胜,武磊，于海
中超联赛,5,2018.04.08,河南建业,1,2,上海上港,胜,王燊超，埃尔克森
中超联赛,6,2018.04.13,上海上港,2,0,河北华夏,胜,武磊，胡尔克(PK)
中超联赛,7,2018.04.22,上海上港,1,1,天津泰达,平,吕文君
中超联赛,8,2018.04.29,长春亚泰,2,1,上海上港,负,武磊/胡尔克(PK)
中超联赛,9,2018.05.05,上海上港,1,2,北京国安,负,埃尔克森
中超联赛,10,2018.05.12,贵州恒丰,1,1,上海上港,平,武磊
中超联赛,11,2018.05.20,上海上港,2,0,江苏苏宁,胜,武磊，奥斯卡
中超联赛,12,2018.07.17,山东鲁能,1,1,上海上港,平,奥斯卡
中超联赛,14,2018.07.28,北京人和,1,5,上海上港,胜,奥斯卡2，武磊，贺惯，雷文杰
中超联赛,15,2018.08.01,上海上港,4,1,天津权健,胜,奥斯卡2，胡尔克，埃尔克森/武磊(PK)
中超联赛,16,2018.08.05,大连一方,1,0,上海上港,负,/
中超联赛,17,2018.08.11,上海上港,2,0,上海申花,胜,武磊，胡尔克(PK)
中超联赛,18,2018.08.15,上海上港,3,1,广州富力,胜,武磊2，吕文君
中超联赛,19,2018.08.18,重庆力帆,2,3,上海上港,胜,武磊2，吕文君
中超联赛,20,2018.08.25,上海上港,2,1,河南建业,胜,埃尔克森，胡尔克
中超联赛,21,2018.09.01,河北华夏,1,1,上海上港,平,武磊
中超联赛,22,2018.09.14,天津泰达,2,5,上海上港,胜,奥斯卡2，武磊，胡尔克，埃尔克森
中超联赛,13(补赛),2018.09.18,上海上港,2,1,广州恒大,胜,武磊，埃尔克森
中超联赛,23,2018.09.22,上海上港,3,1,长春亚泰,胜,奥斯卡，蔡慧康，吕文君
中超联赛,24,2018.09.29,北京国安,0,1,上海上港,胜,胡尔克
中超联赛,25,2018.10.07,上海上港,5,0,贵州恒丰,胜,武磊2，王燊超，胡尔克，埃尔克森
中超联赛,26,2018.10.21,江苏苏宁,0,0,上海上港,平,/
中超联赛,27,2018.10.28,上海上港,4,2,山东鲁能,胜,武磊2，胡尔克2（2PK）
中超联赛,28,2018.11.03,广州恒大,4,5,上海上港,胜,吕文君，蔡慧康，武磊，胡尔克(PK)，张成林(OG)
中超联赛,29,2018.11.07,上海上港,2,1,北京人和,胜,艾哈迈多夫，武磊
中超联赛,30,2018.11.11,天津权健,3,2,上海上港,负,张一，刘奕鸣(OG)
