轮次,日期,星期,开赛时间,主队,客队,城市
第1轮,2023/4/15,星期六,19:35,武汉三镇,上海海港,武汉
第2轮,2023/4/22,星期六,15:30,上海海港,深圳队,上海
第3轮,2023/4/26,星期三,17:30,沧州雄狮,上海海港,沧州
第4轮,2023/4/30,星期日,19:35,上海海港,上海申花,上海
第5轮,2023/5/6,星期六,19:35,天津津门虎,上海海港,天津
第6轮,2023/5/10,星期三,19:35,上海海港,青岛海牛,上海
第7轮,2023/5/14,星期日,19:35,浙江队,上海海港,湖州
第8轮,2023/5/20,星期六,19:35,梅州客家,上海海港,梅州
第9轮,2023/5/24,星期三,19:35,上海海港,河南,上海
第10轮,2023/5/29,星期一,19:35,长春亚泰,上海海港,长春
第11轮,2023/6/3,星期六,17:30,上海海港,成都蓉城,上海
第12轮,2023/6/9,星期五,19:35,上海海港,南通支云,上海
第13轮,2023/6/29,星期四,19:35,北京国安,上海海港,北京
第14轮,2023/7/3,星期一,19:35,山东泰山,上海海港,济南
第15轮,2023/7/8,星期六,19:35,上海海港,大连人,上海
第16轮,2023/7/12,星期三,19:35,上海海港,武汉三镇,上海
第17轮,2023/7/16,星期日,19:35,深圳队,上海海港,深圳
第18轮,2023/7/21,星期五,19:35,上海海港,沧州雄狮,上海
第19轮,2023/7/29,星期六,19:35,上海申花,上海海港,上海
第20轮,2023/8/3,星期四,19:35,上海海港,天津津门虎,上海
第21轮,2023/8/8,星期二,19:35,青岛海牛,上海海港,青岛
第22轮,2023/8/12,星期六,19:35,上海海港,浙江队,上海
第23轮,2023/8/20,星期日,19:35,上海海港,梅州客家,上海
第24轮,2023/8/25,星期五,19:35,河南,上海海港,郑州
第25轮,2023/9/15,星期五,19:35,上海海港,长春亚泰,上海
第26轮,2023/9/23,星期六,19:35,成都蓉城,上海海港,成都
第27轮,2023/9/29,星期五,19:35,南通支云,上海海港,南通
第28轮,2023/10/20,星期五,19:35,上海海港,北京国安,上海
第29轮,2023/10/29,星期日,15:30,上海海港,山东泰山,上海
第30轮,2023/11/4,星期六,15:30,大连人,上海海港,大连
