比赛类别,轮次,比赛时间,主队,比分,,客队,赛果,进球队员
中超联赛,1,2021.04.22,天津津门虎,1,6,上海海港,胜,/阿瑙托维奇3，洛佩斯2，吕文君
中超联赛,2,2021.04.28,上海海港,3,1,北京国安,胜,洛佩斯2，吕文君
中超联赛,3,2021.05.05,上海申花,1,1,上海海港,平,/穆伊
中超联赛,4,2021.05.11,上海海港,0,0,长春亚泰,平,
中超联赛,5,2021.05.16,上海海港,3,0,大连人,胜,奥斯卡2(1PK)，吕文君/
中超联赛,6,2021.07.19,武汉,0,0,上海海港,平,/
中超联赛,7,2021.07.23,上海海港,1,0,河北,胜,奥斯卡(PK)/
中超联赛,9,2021.07.28,北京国安,1,1,上海海港,平,王燊超/
中超联赛,10,2021.07.31,上海海港,1,0,上海申花,胜,李圣龙/
中超联赛,11,2021.08.03,长春亚泰,2,1,上海海港,负,/吕文君
中超联赛,12,2021.08.06,大连人,0,5,上海海港,胜,/张华晨，杨世元，吕文君，阿布拉汗，李圣龙
中超联赛,13,2021.08.09,上海海港,3,0,武汉,胜,李超(OG)，吕文君，张华晨/
中超联赛,14,2021.08.12,河北,1,0,上海海港,负,/
中超联赛,8(补赛),2021.08.15,上海海港,5,0,天津津门虎,胜,保利尼奥2，魏震，李昂，陈纯新/
中超联赛,15,2021.12.13,深圳,1,3,上海海港,胜,/李申圆，奥斯卡，穆伊
中超联赛,16,2021.12.16,上海海港,1,0,广州城,胜,吕文君/
中超联赛,17,2021.12.19,上海海港,0,2,山东泰山,负,/奥斯卡(PK)
中超联赛,18,2021.12.22,广州,0,0,上海海港,平,/
中超联赛,19,2021.12.26,上海海港,3,1,深圳,胜,刘祝润，李申圆，奥斯卡(PK)/
中超联赛,20,2021.12.29,广州城,1,2,上海海港,胜,/穆伊2
中超联赛,21,2022.01.01,山东泰山,2,2,上海海港,平,/胡靖航，穆伊
中超联赛,22,2022.01.04,上海海港,1,0,广州,胜,刘祝润/
