号码,姓名,出生年月日,年龄,位置,
1,颜骏凌,1991-01-28,35,GK,
2,李昂,1993-09-15,33,DF,
3,蒋光太,1994-05-27,32,DF,
4,王燊超,1989-02-08,37,DF,
5,张琳芃,1989-05-09,37,DF,
6,蔡慧康,1989-10-10,37,DF,
7,武磊,1991-11-19,35,FW,
8,奥斯卡,1991-09-09,35,MF,F
9,保利尼奥,1994-07-10,32,MF,F
10,马库斯·平科,1991-02-24,35,FW,F
11,吕文君,1989-03-11,37,MF,
12,陈威,1998-02-14,28,GK,
13,魏震,1997-02-12,29,DF,
14,李圣龙,1992-07-30,34,FW,
15,李申圆,1997-10-02,29,DF,
16,徐新,1994-04-19,32,MF,
17,陈彬彬,1998-06-10,28,DF,
20,杨世元,1994-03-11,32,DF,
21,于海,1987-06-04,39,DF,
22,杜佳,1993-05-01,33,GK,
24,巴尔加斯,1997-05-08,29,MF,F
25,买提江,1991-01-14,35,MF,
27,冯劲,1993-08-14,33,FW,
28,贺惯,1993-01-25,33,DF,
29,张华晨,1998-03-16,28,MF,
31,奚安杰,2004-01-14,22,GK,U21
32,李帅,1995-06-18,31,DF,
33,刘祝润,2001-10-06,25,FW,
34,伊萨·卡隆,1996-01-03,30,FW,F
36,阿布拉汗·哈力克,2001-04-26,25,DF,
41,梁锟,2003-11-02,23,GK,U21
42,向荣峻,2004-03-31,22,DF,U21
43,王逸伟,2004-03-20,22,DF,U21
44,吕坤,2003-01-06,23,DF,U21
45,刘小龙,2003-09-09,23,FW,U21
