比赛类别,轮次,比赛时间,主队,比分,,客队,赛果,进球队员
中超联赛,1,2020.07.27,天津泰达,1,3,上海上港,胜,洛佩斯2，王燊超
中超联赛,2,2020.08.02,上海上港,4,0,河北华夏,胜,洛佩斯2，阿瑙托维奇2
中超联赛,3,2020.08.06,青岛黄海,1,1,上海上港,平,奥斯卡(PK)
中超联赛,4,2020.08.12,上海上港,2,1,武汉卓尔,胜,阿瑙托维奇，奥斯卡(PK)
中超联赛,5,2020.08.16,上海上港,1,1,石家庄永昌,平,胡尔克
中超联赛,6,2020.08.22,北京国安,1,2,上海上港,胜,王燊超，奥斯卡
中超联赛,7,2020.08.26,上海上港,3,0,重庆当代,胜,阿瑙托维奇，王燊超，奥斯卡
中超联赛,8,2020.08.29,上海上港,4,1,天津泰达,胜,艾哈迈多夫，胡尔克，阿瑙托维奇，奥斯卡(PK)
中超联赛,9,2020.09.05,河北华夏,2,0,上海上港,负,/
中超联赛,10,2020.09.10,上海上港,2,1,青岛黄海,胜,胡尔克，阿瑙托维奇
中超联赛,11,2020.09.15,武汉卓尔,1,2,上海上港,胜,阿瑙托维奇，穆伊
中超联赛,12,2020.09.22,石家庄永昌,0,1,上海上港,胜,胡尔克(PK)
中超联赛,13,2020.09.25,上海上港,1,0,北京国安,胜,胡尔克(PK)
中超联赛,14,2020.09.28,重庆当代,1,0,上海上港,负,/
中超联赛,15,2020.10.18,上海申花,0,0,上海上港,平,/
中超联赛,16,2020.10.23,上海上港,1,1,上海申花,平,胡尔克(PK)/(两回合双方2:2战平.上海上港点球5:4，两回合总比分7:6晋级)
中超联赛,17,2020.10.29,江苏苏宁,1,1,上海上港,平,张诚(OG)
中超联赛,18,2020.11.02,上海上港,1,2,江苏苏宁,负,杨世元
中超联赛,19,2020.11.07,上海上港,1,2,北京国安,负,郭全博(OG)
中超联赛,20,2020.11.11,北京国安,1,1,上海上港,平,洛佩斯
