中文名称,英文名称,国籍,位置,年龄
颜骏凌,Yan Junling,中国,守门员,25
武磊,Wu Lei,中国,前锋,24
于海,Yu Hai,中国,后卫,28
石柯,Shi Ke,中国,后卫,23
蔡慧康,Cai Huikang,中国,中场,26
孙祥,Sun Xiang,中国,后卫,34
埃尔克森,Elkeson,巴西,前锋,26
金周荣,Kim Ju-young,韩国,后卫,27
埃弗拉,Jean Evrard Kouassi,科特迪瓦,前锋,21
王燊超,Wang Shenchao,中国,后卫,26
傅欢,Fu Huan,中国,后卫,22
孔卡,Darío Conca,阿根廷,中场,32
吕文君,Lü Wenjun,中国,前锋,26
胡尔克,Hulk,巴西,前锋,29
贺惯,He Guan,中国,后卫,23
汪佳捷,Wang Jiajie,中国,后卫,27
吉安,Asamoah Gyan,加纳,前锋,30
李浩文,Li Haowen,中国,前锋,22
林创益,Lin Chuangyi,中国,中场,23
张卫,Zhang Wei,中国,后卫,22
杨世元,Yang Shiyuan,中国,中场,21
胡靖航,Hu Jinghang,中国,前锋,18
张一,Zhang Yi,中国,后卫,22
孙乐,Sun Le,中国,守门员,26
魏震,Wei Zhen,中国,后卫,18
朱峥嵘,Zhu Zhengrong,中国,中场,27
郑致云,Zheng Zhiyun,中国,后卫,20
