中文名称,英文名称,国籍,位置,年龄
博阿斯,André Villas-Boas,葡萄牙,主教练
颜骏凌,Yan Junling,中国,守门员,26
王燊超,Wang Shenchao,中国,后卫,27
贺惯,He Guan,中国,后卫,24
胡尔克,Hulk,巴西,前锋,30
武磊,Wu Lei,中国,前锋,25
奥斯卡,Oscar,巴西,中场,25
石柯,Shi Ke,中国,后卫,24
蔡慧康,Cai Huikang,中国,中场,27
艾哈迈多夫,Odil Ahmedov,乌兹别克斯坦,中场,29
傅欢,Fu Huan,中国,后卫,23
埃尔克森,Elkeson,巴西,前锋,27
张华晨,Zhang Huachen,中国,中场,18
吕文君,Lü Wenjun,中国,前锋,27
张卫,Zhang Wei,中国,后卫,23
韦世豪,Wei Shihao,中国,中场,21
林创益,Lin Chuangyi,中国,中场,24
魏震,Wei Zhen,中国,后卫,19
于海,Yu Hai,中国,中场,29
张一,Zhang Yi,中国,中场,23
里卡多·卡瓦略,Ricardo Carvalho,葡萄牙,后卫,38
郑致云,Zheng Zhiyun,中国,后卫,21
高海生,Gao Haisheng,中国,中场,20
李圣龙,Li Shenglong,中国,前锋,24
汪佳捷,Wang Jiajie,中国,后卫,28
陈彬彬,Chen Binbin,中国,中场,18
孙乐,Sun Le,中国,守门员,27
陈威,Chen Wei,中国,守门员,18
