比赛类别,轮次,比赛时间,主队,比分,,客队,赛果,进球队员
中甲联赛,4,2009.04.18,四川西部智谷,1,3,上海东亚,胜,吕文君，朱峥嵘，蔡慧康
中甲联赛,5,2009.04.25,上海东亚,0,0,辽宁宏运,平,
中甲联赛,6,2009.05.02,北京燕捷圣,1,2,上海东亚,胜,吕文君，王佳玉(PK)
中甲联赛,7,2009.05.08,上海东亚,2,1,南昌八一衡源,胜,曹赟定，姜至鹏
中甲联赛,8,2009.05.17,上海东亚,0,0,安徽九方,平,/
中甲联赛,10,2009.06.20,青岛海利丰,0,2,上海东亚,胜,吕文君，姜至鹏
中甲联赛,11,2009.06.27,广东日之泉,4,2,上海东亚,负,吕文君，武磊
中甲联赛,12,2009.07.04,沈阳东进,0,0,上海东亚,平,
中甲联赛,13,2009.07.15,上海东亚,2,1,北京理工贵人鸟,胜,战怡麟，武磊
中甲联赛,14,2009.08.08,延边,1,1,上海东亚,平,张琳芃
中甲联赛,16,2009.08.21,上海浦东中邦,2,1,上海东亚,负,王佳玉
中甲联赛,17,2009.08.28,上海东亚,6,1,四川西部智谷,胜,朱峥嵘3，王云龙2，张萌祺
中甲联赛,18,2009.09.02,辽宁,2,0,上海东亚,负,/
中甲联赛,19,2009.09.06,上海东亚,3,0,北京燕捷圣,胜,王佳玉，武磊，姜至鹏
中甲联赛,20,2009.09.12,南昌八一衡源,3,1,上海东亚,负,张琳芃
中甲联赛,21,2009.09.19,安徽九方,1,2,上海东亚,胜,王云龙，毛嘉康
中甲联赛,15(补赛),2009.09.29,上海东亚,4,0,南京有有,胜,吕文君，朱峥嵘，姜至鹏，蔡慧康
中甲联赛,23,2009.10.10,上海东亚,4,1,青岛海利丰,胜,武磊2，战怡麟2
中甲联赛,24,2009.10.14,上海东亚,1,0,广东日之泉,胜,曹赟定
中甲联赛,25,2009.10.18,上海东亚,2,3,沈阳东进,负,吕文君，王燊超
中甲联赛,26,2009.10.25,北京理工贵人鸟,1,1,上海东亚,平,朱峥嵘
中甲联赛,1,2010.04.04,上海东亚,2,0,广东日之泉,胜,武磊，朱峥嵘
中甲联赛,2,2010.04.10,湖北东方国旅,0,0,上海东亚,平,/
中甲联赛,3,2010.04.16,上海东亚,0,0,南京有有,平,/
中甲联赛,4,2010.04.22,湖南湘涛,2,1,上海东亚,负,王佳玉
中甲联赛,5,2010.04.25,北京理工,1,2,上海东亚,胜,曹赟定，武磊(PK)
中甲联赛,6,2010.05.01,上海浦东中邦,0,0,上海东亚,平,/
中甲联赛,7,2010.05.07,上海东亚,1,3,广州广汽恒大,负,王佳玉
中甲联赛,8(补赛),2010.06.05,上海东亚,0,0,沈阳东进,平,/
中甲联赛,9,2010.05.22,成都谢菲联,0,3,上海东亚,胜,吕文君2，武磊
中甲联赛,10,2010.05.29,安徽九方,0,1,上海东亚,胜,武磊(PK)
中甲联赛,12,2010.07.20,上海东亚,0,0,北京八喜,平,/
中甲联赛,13,2010.07.24,延边,1,0,上海东亚,负,/
中甲联赛,14,2010.07.31,广东日之泉,1,2,上海东亚,胜,席尔瓦，武磊(PK)
中甲联赛,15,2010.08.07,上海东亚,1,0,湖北东方国旅,胜,朱峥嵘
中甲联赛,16,2010.08.15,南京有有,2,2,上海东亚,平,武磊2
中甲联赛,17,2010.08.21,上海东亚,2,1,湖南湘涛,胜,张琳芃，武磊(PK)
中甲联赛,18,2010.08.24,上海东亚,1,1,北京理工,平,马丁
中甲联赛,19,2010.08.28,上海东亚,4,1,上海浦东中邦,胜,武磊2(1PK)，加西亚，曹赟定
中甲联赛,20,2010.09.04,广州广汽恒大,1,1,上海东亚,平,王佳玉
中甲联赛,21,2010.09.12,沈阳东进,3,1,上海东亚,负,吕文君
中甲联赛,22,2010.09.19,上海东亚,0,1,成都谢菲联,负,/
中甲联赛,23,2010.09.24,上海东亚,1,0,安徽九方,胜,王佳玉(PK)
中甲联赛,25,2010.10.23,北京八喜,0,0,上海东亚,平,/
中甲联赛,26,2010.10.30,上海东亚,0,0,延边,平,/
中甲联赛,1,2011.03.27,上海东亚,0,1,大连阿尔滨,负,/
中甲联赛,2,2011.04.03,重庆力帆,1,0,上海东亚,负,/
中甲联赛,3,2011.04.09,上海东亚,2,2,湖南湘涛,平,朱峥嵘，武磊
中甲联赛,4,2011.04.13,上海东亚,1,0,北京八喜,胜,吕文君
中甲联赛,5,2011.04.18,上海东亚,2,1,天津润宇隆,胜,武磊2(1PK)
中甲联赛,6,2011.04.24,上海东亚,0,0,湖北中博,平,/
中甲联赛,7,2011.04.30,沈阳东进,1,1,上海东亚,平,王燊超
足协杯,第一轮,2011.05.05,上海东亚,2,0,湖北中博,胜,王燊超，吕文君
中甲联赛,8,2011.05.08,上海东亚,2,1,广东日之泉,胜,武磊，吕文君
足协杯,第二轮,2011.05.11,北京国安,1,0,上海东亚,负,/
中甲联赛,9,2011.05.14,延边长白虎,0,1,上海东亚,胜,艾迪
中甲联赛,10,2011.05.21,上海东亚,2,2,天津松江,平,武磊2
中甲联赛,11,2011.05.28,北京361°大学生,1,4,上海东亚,胜,吕文君2，武磊，艾迪
中甲联赛,12,2011.06.05,上海东亚,1,1,深圳凤凰,平,朱峥嵘
中甲联赛,13,2011.06.11,贵州通源,1,1,上海东亚,平,吕文君
中甲联赛,14,2011.06.25,大连阿尔滨,2,1,上海东亚,负,博库
中甲联赛,15,2011.07.03,上海东亚,0,1,重庆力帆,负,/
中甲联赛,16,2011.07.10,湖南湘涛,2,1,上海东亚,负,吕文君
中甲联赛,17,2011.07.31,北京八喜,0,2,上海东亚,胜,王云龙，武磊
中甲联赛,18,2011.08.06,沈阳沈北荣盛,1,0,上海东亚,负,/
中甲联赛,19,2011.08.13,湖北中博,0,0,上海东亚,平,/
中甲联赛,20,2011.08.20,上海东亚,2,2,沈阳东进,平,王云龙，朱峥嵘
中甲联赛,21,2011.08.27,广东日之泉,2,2,上海东亚,平,武磊，王燊超
中甲联赛,22,2011.09.11,上海东亚,4,0,延边长白虎,胜,武磊3，王云龙
中甲联赛,23,2011.09.24,天津松江,2,0,上海东亚,负,/
中甲联赛,24,2011.10.15,上海东亚,0,0,北京361°大学生,平,/
中甲联赛,25,2011.10.22,广州富力,1,0,上海东亚,负,/
中甲联赛,26,2011.10.30,上海东亚,0,0,贵州通源,平,/
中甲联赛,1,2012.03.17,上海特莱士,2,0,重庆力帆,胜,蔡慧康，加西亚
中甲联赛,2,2012.03.24,深圳茅台红钻,0,1,上海特莱士,胜,吕文君
中甲联赛,3,2012.03.31,上海特莱士,0,0,沈阳沈北,平,/
中甲联赛,4,2012.04.08,上海特莱士,2,0,延边长白虎,胜,武磊(PK)，陈子介
中甲联赛,5,2012.04.14,上海特莱士,2,0,湖南湘涛,胜,武磊(PK)，王燊超
中甲联赛,6,2012.04.21,北京八喜,1,2,上海特莱士,胜,卡贝萨斯2
中甲联赛,7,2012.04.30,上海特莱士,1,1,福建骏豪,平,武磊(PK)
中甲联赛,8,2012.05.05,天津松江,3,0,上海特莱士,负,/
中甲联赛,9,2012.05.12,重庆FC,0,0,上海特莱士,平,/
中甲联赛,10,2012.05.19,呼和浩特东进,1,3,上海特莱士,胜,吕文君，武磊，陈子介
中甲联赛,11,2012.05.26,武汉卓尔,0,1,上海特莱士,胜,陈子介
足协杯,第二轮,2012.06.02,上海特莱士,6,0,福建骏豪,胜,毛嘉康(PK)，陈子介，傅欢，耿袈岂，加西亚，汪佳捷
中甲联赛,12,2012.06.09,上海特莱士,3,1,哈尔滨松北毅腾,胜,武磊2，卡贝萨斯
中甲联赛,13,2012.06.16,成都谢菲联,0,1,上海特莱士,胜,武磊
中甲联赛,14,2012.06.23,北京361°大学生,0,3,上海特莱士,胜,吕文君，武磊，朱峥嵘
足协杯,十六分之一决赛,2012.06.26,浙江绿城,3,0,上海特莱士,负,/
中甲联赛,15,2012.06.30,上海特莱士,2,1,广东日之泉,胜,卡贝萨斯，吕文君
中甲联赛,16,2012.07.07,重庆力帆,3,1,上海特莱士,负,朱峥嵘
中甲联赛,17,2012.07.13,上海特莱士,3,3,深圳茅台红钻,平,武磊2，朱峥嵘
中甲联赛,18,2012.07.22,沈阳沈北,1,0,上海特莱士,负,/
中甲联赛,19,2012.07.28,延边长白虎,0,3,上海特莱士,胜,卡贝萨斯2，朱峥嵘
中甲联赛,20,2012.08.04,湖南湘涛,2,1,上海特莱士,负,武磊
中甲联赛,21,2012.08.12,上海特莱士,2,2,北京八喜,平,阿多，吕文君
中甲联赛,22,2012.08.18,福建骏豪,1,1,上海特莱士,平,朱峥嵘
中甲联赛,23,2012.08.26,上海特莱士,3,0,天津松江,胜,汪佳捷，武磊，吕文君
中甲联赛,24,2012.09.01,上海特莱士,0,0,重庆FC,平,/
中甲联赛,25,2012.09.16,上海特莱士,1,0,呼和浩特东进,胜,王燊超
中甲联赛,26,2012.09.23,上海特莱士,0,1,武汉卓尔,负,/武磊(PK)
中甲联赛,27,2012.09.29,哈尔滨松北毅腾,0,3,上海特莱士,胜,武磊(PK)，卡贝萨斯，朱峥嵘
中甲联赛,28,2012.10.07,上海特莱士,3,2,成都谢菲联,胜,武磊2(1PK)，卡贝萨斯
中甲联赛,29,2012.10.20,上海特莱士,1,0,北京361°大学生,胜,王燊超
中甲联赛,30,2012.10.28,广东日之泉,2,2,上海特莱士,平,武磊2
中超联赛,1,2013.03.08,北京国安,4,1,上海东亚,负,武磊/王燊超(OG)
中超联赛,2,2013.03.16,上海东亚,1,1,贵州人和,平,吕文君(PK)
中超联赛,3,2013.03.30,大连阿尔滨,3,3,上海东亚,平,朱峥嵘2，武磊
中超联赛,4,2013.04.07,上海东亚,2,0,长春亚泰,胜,武磊，吕文君
中超联赛,5,2013.04.13,广州富力,0,0,上海东亚,平,/
中超联赛,6,2013.04.20,上海东亚,1,0,天津泰达,胜,武磊
中超联赛,7,2013.04.28,上海申花,2,1,上海东亚,负,武磊(PK)
中超联赛,8,2013.05.05,上海东亚,1,2,辽宁宏运,负,朱峥嵘
中超联赛,9,2013.05.12,浙江绿城,2,1,上海东亚,负,李运秋
中超联赛,10,2013.05.18,山东鲁能,1,0,上海东亚,负,/
足协杯,十六分之一决赛,2013.05.21,上海东亚,2,2,重庆力帆,平,毛嘉康，林创益(上海东亚点球4:3，总比分6:4晋级)
中超联赛,11,2013.05.25,青岛中能,1,0,上海东亚,负,/
中超联赛,12,2013.06.02,上海申鑫,1,6,上海东亚,胜,武磊3，吕文君2，朱峥嵘
中超联赛,13,2013.06.22,上海东亚,1,0,武汉卓尔,胜,梅芳(OG)
中超联赛,14,2013.06.25,广州恒大,1,0,上海东亚,负,/
中超联赛,15,2013.06.29,上海东亚,2,1,江苏舜天,负,武磊，吕文君
中超联赛,16,2013.07.07,上海东亚,0,3,北京国安,负,/
足协杯,八分之一决赛,2013.07.10,青岛中能,0,0,上海东亚,平,/(青岛中能点球4:2，总比分4:2晋级)
中超联赛,17,2013.07.14,贵州人和,0,3,上海东亚,胜,麦克布林，卡贝萨斯，萨利(OG)
中超联赛,18,2013.07.31,上海东亚,2,2,大连阿尔滨,平,麦克布林，汪佳捷
中超联赛,19,2013.08.04,长春亚泰,0,0,上海东亚,平,/
中超联赛,20,2013.08.11,上海东亚,0,3,广州富力,负,/
中超联赛,21,2013.08.17,天津泰达,2,3,上海东亚,胜,武磊3
中超联赛,22,2013.08.24,上海东亚,0,1,上海申花,负,/
中超联赛,24,2013.09.15,上海东亚,2,0,浙江绿城,胜,朱峥嵘，金东进(OG)
中超联赛,25,2013.09.20,上海东亚,0,1,山东鲁能,负,/
中超联赛,26,2013.09.27,上海东亚,6,1,青岛中能,胜,武磊3，朱峥嵘，卡贝萨斯，郑达伦
中超联赛,27,2013.10.05,上海东亚,0,1,上海申鑫,负,/孙凯(OG)
中超联赛,23(补赛),2013.10.12,辽宁宏运,1,0,上海东亚,负,/
中超联赛,28,2013.10.20,武汉卓尔,0,1,上海东亚,胜,伊班
中超联赛,29,2013.10.30,上海东亚,1,1,广州恒大,平,麦克布林
中超联赛,30,2013.11.03,江苏舜天,0,0,上海东亚,平,/
中超联赛,1,2014.03.09,辽宁宏运,1,1,上海上港,平,武磊
中超联赛,2,2014.03.16,上海上港,5,1,上海申鑫,胜,海森2，武磊(PK)，吕文君，汪佳捷
中超联赛,3,2014.03.22,杭州绿城,1,2,上海上港,胜,武磊，海森
中超联赛,4,2014.03.28,上海上港,1,0,北京国安,胜,海森
中超联赛,5,2014.04.05,河南建业,1,0,上海上港,负,/
中超联赛,6,2014.04.12,上海上港,1,0,长春亚泰,胜,王佳玉
中超联赛,7,2014.04.20,大连阿尔滨,1,1,上海上港,平,王燊超
中超联赛,8,2014.04.26,上海上港,1,1,上海申花,平,麦克布林
中超联赛,9,2014.04.30,广州恒大,5,0,上海上港,负,/
中超联赛,10,2014.05.04,广州富力,2,2,上海上港,平,海森2
中超联赛,11,2014.05.11,上海上港,5,2,贵州人和,胜,海森3，麦克布林2/伊班(OG)
中超联赛,12,2014.05.18,山东鲁能,3,3,上海上港,平,海森2，吕文君
中超联赛,14,2014.05.25,江苏舜天,1,0,上海上港,负,/
中超联赛,13(补赛),2014.05.28,上海上港,1,0,哈尔滨毅腾,胜,李浩文
足协杯,十六分之一决赛,2014.07.16,武汉宏兴,0,0,上海上港,平,/(武汉宏兴点球4:3，总比分4:3晋级)
中超联赛,15,2014.07.19,上海上港,1,1,天津泰达,平,麦克布林
中超联赛,16,2014.07.27,上海上港,3,3,辽宁宏运,平,武磊2，海森
中超联赛,17,2014.07.30,上海申鑫,1,3,上海上港,胜,麦克布林，卡里里，武磊
中超联赛,18,2014.08.03,上海上港,2,1,杭州绿城,胜,武磊，海森
中超联赛,19,2014.08.10,北京国安,2,0,上海上港,负,/
中超联赛,20,2014.08.13,上海上港,1,0,河南建业,胜,武磊
中超联赛,21,2014.08.17,长春亚泰,1,2,上海上港,胜,武磊，海森
中超联赛,22,2014.08.23,上海上港,2,0,大连阿尔滨,胜,武磊，海森/武磊(PK)
中超联赛,23,2014.08.31,上海申花,1,1,上海上港,平,朱峥嵘/武磊(PK)
中超联赛,24,2014.09.13,上海上港,0,3,广州恒大,负,/
中超联赛,25,2014.09.21,上海上港,1,2,广州富力,负,海森
中超联赛,26,2014.09.28,贵州人和,1,1,上海上港,平,海森
中超联赛,27,2014.10.05,上海上港,0,0,山东鲁能,平,/
中超联赛,28,2014.10.19,哈尔滨毅腾,1,1,上海上港,平,卡里里
中超联赛,29,2014.10.26,上海上港,3,0,江苏舜天,胜,王燊超，武磊，海森
中超联赛,30,2014.11.02,天津泰达,3,3,上海上港,平,朱峥嵘，武磊，海森
中超联赛,1,2015.03.07,上海上港,2,1,江苏舜天,胜,于海，海森
中超联赛,2,2015.03.15,上海申鑫,0,2,上海上港,胜,海森，吕文君
中超联赛,3,2015.03.22,上海上港,2,1,广州富力,胜,于海，海森
中超联赛,4,2015.04.05,天津泰达,0,0,上海上港,平,/
中超联赛,5,2015.04.12,上海上港,1,1,北京国安,平,海森
中超联赛,6,2015.04.19,上海上港,2,1,重庆力帆,胜,海森，埃弗拉
中超联赛,7,2015.04.26,上海上港,3,0,河南建业,胜,达维(PK)，于海，武磊
中超联赛,8,2015.05.03,杭州绿城,1,1,上海上港,平,埃弗拉
中超联赛,9,2015.05.09,上海上港,5,0,上海申花,胜,海森2，孔卡，武磊，帕帕多普洛斯(OG)
足协杯,十六分之一决赛,2015.05.12,大连超越,1,2,上海上港,胜,李浩文，贺惯
中超联赛,10,2015.05.15,广州恒大,1,1,上海上港,平,海森
中超联赛,11,2015.05.22,贵州人和,2,0,上海上港,负,/
中超联赛,12,2015.05.29,上海上港,3,4,山东鲁能,负,孔卡2(1PK)，达维(PK)
中超联赛,13,2015.06.03,石家庄永昌,2,2,上海上港,平,达维(PK)，武磊/汪佳捷(OG)
中超联赛,14,2015.06.19,上海上港,5,3,长春亚泰,胜,达维2，孔卡，吕文君，伊斯梅洛夫(OG)
中超联赛,15,2015.06.24,辽宁宏运,1,3,上海上港,胜,海森，孔卡(PK)，金裕晋(OG)
中超联赛,16,2015.06.27,江苏舜天,1,4,上海上港,胜,海森2，武磊，埃弗拉
中超联赛,17,2015.07.05,上海上港,2,0,上海申鑫,胜,埃弗拉，武磊
足协杯,八分之一决赛,2015.07.08,上海上港,2,1,广州富力,胜,孔卡(PK)，武磊/王燊超(OG)
中超联赛,18,2015.07.12,广州富力,2,3,上海上港,胜,孔卡2，汪佳捷
中超联赛,19,2015.07.16,上海上港,2,1,天津泰达,胜,达维(PK)，吉安
中超联赛,20,2015.07.20,北京国安,0,0,上海上港,平,/达维(PK)
中超联赛,21,2015.07.25,重庆力帆,2,4,上海上港,胜,武磊2，孔卡，吉安
中超联赛,22,2015.08.12,河南建业,2,2,上海上港,平,吉安，吕文君
中超联赛,23,2015.08.16,上海上港,2,1,杭州绿城,胜,武磊2
足协杯,四分之一决赛,2015.08.19,上海申花,3,3,上海上港,平,吉安，武磊，孔卡/(上海申花点球5:4，总比分8:7晋级)
中超联赛,24,2015.08.23,上海申花,1,2,上海上港,胜,吉安，石柯
中超联赛,25,2015.09.12,上海上港,0,3,广州恒大,负,/
中超联赛,26,2015.09.19,上海上港,3,1,贵州人和,胜,达维，海森，杨博宇
中超联赛,27,2015.09.26,山东鲁能,0,1,上海上港,胜,武磊
中超联赛,28,2015.10.17,上海上港,2,2,石家庄永昌,平,武磊2
中超联赛,29,2015.10.25,长春亚泰,0,2,上海上港,胜,武磊2
中超联赛,30,2015.10.31,上海上港,2,1,辽宁宏运,胜,孔卡，蔡慧康
亚冠联赛,资格赛第三轮,2016.02.09,上海上港,3,0,蒙通联,胜,武磊2，孔卡
亚冠联赛,G组第一轮,2016.02.24,墨尔本胜利,2,1,上海上港,负,武磊
